"Name","Extension","Size","LastWriteTime","FullName"
"$R6NBWMJ.ps1",".ps1","10003","2026-01-24T00:03:28.8288466-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R6NBWMJ.ps1"
"$RXVZ3DJ.py",".py","9983","2026-01-23T23:01:02.0898231-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RXVZ3DJ.py"
"$RVYAHTX.py",".py","9904","2026-01-16T05:54:29.1849352-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RVYAHTX.py"
"$R4LFE9K.ps1",".ps1","9897","2026-01-16T22:18:26.8021041-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R4LFE9K.ps1"
"$R7NELFE.sh",".sh","9852","2026-01-14T23:14:14.4875154-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R7NELFE.sh"
"$RX20X7E.py",".py","9757","2026-01-23T20:17:15.2005317-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RX20X7E.py"
"$RQ9UJIQ.py",".py","9622","2026-01-24T00:29:57.4795524-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQ9UJIQ.py"
"$RX1CXE5.py",".py","9576","2026-01-24T00:30:08.9805207-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RX1CXE5.py"
"$RSVBBRZ.md",".md","9261","2026-01-23T11:39:49.3378123-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RSVBBRZ.md"
"$RPNF9M5.json",".json","9207","2026-01-15T18:22:29.2480634-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RPNF9M5.json"
"$RQ58HE4.json",".json","9159","2026-01-15T18:22:27.3840893-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQ58HE4.json"
"$RVH1AWA.ps1",".ps1","9060","2026-01-16T22:18:26.7967806-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RVH1AWA.ps1"
"$RDHUIX0.md",".md","9007","2026-01-18T09:46:58.3719513-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RDHUIX0.md"
"$RUPGQUJ.py",".py","9005","2026-01-23T11:39:49.6822208-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RUPGQUJ.py"
"$RALLU2F.ps1",".ps1","8973","2026-01-15T23:17:55.0271877-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RALLU2F.ps1"
"$RBX5T2A.mojo",".mojo","8956","2026-01-16T05:54:29.6927413-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RBX5T2A.mojo"
"$RWVKUEW.py",".py","8937","2026-01-23T11:39:49.6842198-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RWVKUEW.py"
"$RS1Q199.md",".md","8838","2026-01-23T11:12:38.1048307-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RS1Q199.md"
"$RJFHUZJ.md",".md","8646","2026-01-23T11:12:33.6456935-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RJFHUZJ.md"
"$R75097B.rs",".rs","8541","2026-01-15T11:47:22.0466382-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R75097B.rs"
"$R6BPA1I.md",".md","8251","2026-01-23T11:27:28.3590334-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R6BPA1I.md"
"$RUG22ZD.ps1",".ps1","8229","2026-01-16T07:41:24.3874661-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RUG22ZD.ps1"
"$RT4EM9J.ps1",".ps1","7909","2026-01-16T20:26:48.7874510-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RT4EM9J.ps1"
"$RZ3DHII.md",".md","7882","2026-01-16T18:54:08.6534150-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RZ3DHII.md"
"$RF6W9T9.md",".md","7734","2026-01-18T09:46:58.3436350-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RF6W9T9.md"
"$RDDA971.md",".md","7703","2026-01-23T11:39:49.3398203-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RDDA971.md"
"$RRQPFFL.py",".py","7467","2026-01-23T11:39:49.6812207-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RRQPFFL.py"
"$RHGJFHW.md",".md","7305","2026-01-18T09:46:58.3241634-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RHGJFHW.md"
"$RG3BZNF.py",".py","7297","2026-01-23T19:47:20.6495838-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RG3BZNF.py"
"$R1Q1JZA.md",".md","7290","2026-01-18T09:46:58.3381635-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R1Q1JZA.md"
"$ROMY8TJ.chpl",".chpl","7155","2026-01-18T05:52:06.6803420-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROMY8TJ.chpl"
"$RC7PKII.md",".md","7071","2026-01-24T00:02:39.6251764-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RC7PKII.md"
"$RW6ZRXR","","7040","2026-01-15T15:59:56.1462962-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RW6ZRXR"
"$RKHQGDZ.md",".md","7036","2026-01-23T11:39:49.3332422-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RKHQGDZ.md"
"$R7A8DH3.py",".py","6900","2026-01-23T20:13:11.4862123-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R7A8DH3.py"
"$RV2SNOV.py",".py","6864","2026-01-23T20:17:31.2048079-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RV2SNOV.py"
"$RP4DG6P.py",".py","6832","2026-01-16T05:54:29.6933177-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RP4DG6P.py"
"$R5FBTR4.ps1",".ps1","6768","2026-01-16T18:02:11.9275685-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R5FBTR4.ps1"
"$RCYNX0D.py",".py","6745","2026-01-23T11:39:49.7499152-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RCYNX0D.py"
"$R0NGTBJ.md",".md","6726","2026-01-18T09:46:58.3567156-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R0NGTBJ.md"
"$ROPSX25.ps1",".ps1","6562","2026-01-23T23:57:26.1946306-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROPSX25.ps1"
"$RV0IEZ0.md",".md","6471","2026-01-24T00:03:11.2824913-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RV0IEZ0.md"
"$RREL5IF.ps1",".ps1","6443","2026-01-24T00:02:12.0129664-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RREL5IF.ps1"
"$RSVXMDC.ps1",".ps1","6286","2026-01-16T20:26:48.2829770-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RSVXMDC.ps1"
"$RUWLDVH.md",".md","6261","2026-01-18T09:47:02.9372383-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RUWLDVH.md"
"$RELKW90.json",".json","6236","2026-01-15T23:23:53.6655507-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RELKW90.json"
"$RY0Q6GG.md",".md","6128","2026-01-16T05:25:00.3249650-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RY0Q6GG.md"
"$RIZX978.ps1",".ps1","6055","2026-01-16T20:26:45.7077482-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RIZX978.ps1"
